"ISO3","word","n","total","tf","idf","tf_idf","ISO2","Country"
"BRA","neoliberalism",2,1130,0.00176991150442478,4.16924587039522,0.007379196230788,"BR","Brazil"
"BRA","organization",2,1130,0.00176991150442478,0.746069582014288,0.00132047713630847,"BR","Brazil"
"BRA","paralysis",2,1130,0.00176991150442478,3.65842024662923,0.00647508008252961,"BR","Brazil"
"BRA","parliament",2,1130,0.00176991150442478,2.62880082944807,0.00465274483088154,"BR","Brazil"
"BRA","plan",2,1130,0.00176991150442478,1.03375165446607,0.00182964894595764,"BR","Brazil"
"BRA","planet",2,1130,0.00176991150442478,0.735258665910072,0.00130134277152225,"BR","Brazil"
"BRA","policies",2,1130,0.00176991150442478,1.04835045388722,0.00185548752900393,"BR","Brazil"
"BRA","poorest",2,1130,0.00176991150442478,2.32341917989689,0.00411224633610069,"BR","Brazil"
"BRA","population",2,1130,0.00176991150442478,0.963793065859158,0.00170582843514895,"BR","Brazil"
"BRA","preserving",2,1130,0.00176991150442478,2.43464481500711,0.00430910586726922,"BR","Brazil"
"BRA","promise",2,1130,0.00176991150442478,1.77135059759685,0.00313513380105637,"BR","Brazil"
"BRA","protocol",2,1130,0.00176991150442478,0.31909826868516,0.000564775696787894,"BR","Brazil"
"BRA","reached",2,1130,0.00176991150442478,1.53018854077996,0.00270829830226542,"BR","Brazil"
"BRA","reason",2,1130,0.00176991150442478,1.53018854077996,0.00270829830226542,"BR","Brazil"
"BRA","reducing",2,1130,0.00176991150442478,1.83387095457818,0.00324578930013837,"BR","Brazil"
"BRA","reform",2,1130,0.00176991150442478,0.505684224265572,0.000895016326133756,"BR","Brazil"
"BRA","remains",2,1130,0.00176991150442478,0.713981267462787,0.00126368365922617,"BR","Brazil"
"BRA","repeat",2,1130,0.00176991150442478,2.17681570570501,0.00385277116053984,"BR","Brazil"
"BRA","representation",2,1130,0.00176991150442478,1.50665804336977,0.00266665140419428,"BR","Brazil"
"BRA","request",2,1130,0.00176991150442478,0.340604473906123,0.000602839776824997,"BR","Brazil"
"BRA","requires",2,1130,0.00176991150442478,1.15698429489002,0.00204775981396463,"BR","Brazil"
"BRA","result",2,1130,0.00176991150442478,1.04835045388722,0.00185548752900393,"BR","Brazil"
"BRA","return",2,1130,0.00176991150442478,1.14072377401824,0.00201898013100573,"BR","Brazil"
"BRA","richest",2,1130,0.00176991150442478,3.88156379794344,0.00687002442113883,"BR","Brazil"
"BRA","role",2,1130,0.00176991150442478,0.662687973075237,0.0011728990673898,"BR","Brazil"
"BRA","rule",2,1130,0.00176991150442478,1.09347088916769,0.00193534670649149,"BR","Brazil"
"BRA","school",2,1130,0.00176991150442478,2.27212588550934,0.00402146174426431,"BR","Brazil"
"BRA","security",2,1130,0.00176991150442478,0.0749013081731177,0.000132568687032067,"BR","Brazil"
"BRA","society",2,1130,0.00176991150442478,0.924052737209644,0.00163549157028256,"BR","Brazil"
"BRA","solidarity",2,1130,0.00176991150442478,0.270645885299213,0.000479019266016306,"BR","Brazil"
"BRA","solution",2,1130,0.00176991150442478,0.801950040408745,0.00141938060249335,"BR","Brazil"
"BRA","south",2,1130,0.00176991150442478,0.825206902573012,0.00146054319039471,"BR","Brazil"
"BRA","sovereign",2,1130,0.00176991150442478,1.00517828202201,0.0017790766053487,"BR","Brazil"
"BRA","strategic",2,1130,0.00176991150442478,1.27887411249905,0.0022634940044231,"BR","Brazil"
"BRA","suffering",2,1130,0.00176991150442478,0.911149332373736,0.00161265368561723,"BR","Brazil"
"BRA","summit",2,1130,0.00176991150442478,0.522926030700078,0.000925532797699253,"BR","Brazil"
"BRA","support",2,1130,0.00176991150442478,0.120363682249875,0.000213033065928982,"BR","Brazil"
"BRA","taking",2,1130,0.00176991150442478,0.950370045527018,0.00168207087703897,"BR","Brazil"
"BRA","talked",2,1130,0.00176991150442478,3.88156379794344,0.00687002442113883,"BR","Brazil"
"BRA","threats",2,1130,0.00176991150442478,0.937124818776997,0.00165862799783539,"BR","Brazil"
"BRA","time",2,1130,0.00176991150442478,0.161912685162748,0.000286571124181854,"BR","Brazil"
